sheet,row_id,Chagatai (chg_Arab),Chagatai Latin (chg_Latn),English (eng_Latn),Kazakh (kaz_Cyrl),Russian (rus_Cyrl),Uzbek (uzn_Latn),Turkish (tur_Latn),source_text,source_lang,type,length,Unnamed: 0
Ch 7,137,اوتلوغ يورت,otluǧ yurt,grassy land,отты жұрт,травянистая земля,o'tloq yurt,otlu yurt,otluǧ yurt,chg,phrase,2,
Ch 7,138,کوللوگ باغ,köllüg bāǧ,a garden with a lake,көлді бақ,сад с озером,ko'lli bog',göllü bağ,köllüg bāǧ,chg,phrase,2,
Ch 7,139,خوتن ليگ مظلوم,Ḫotanlig maẓlūm,a Khotanese woman,хотандық мазлұм,хотанская женщина,xotanlik mazluma,Hotanlı kadın,Ḫotanlig maẓlūm,chg,phrase,2,
Ch 7,140,بش مينک آطليغ کشى,beş miñ āṭlıǧ kişi,five thousand mounted men,бес мың атты кісі,пять тысяч всадников,besh ming otliq kishi,beş bin atlı kişi,beş miñ āṭlıǧ kişi,chg,phrase,4,
Ch 7,141,تاز باشليغ قرى آدم,taz başlıǧ qarı ādam,a bald old man,таз басты кәрі адам,лысый старый человек,kal boshli qari odam,kel başlı yaşlı adam,taz başlıǧ qarı ādam,chg,phrase,4,
Ch 7,142,بر يلليغ اجارە,bir yıllıǧ icāra,a one-year rent,бір жылдық ижара,аренда на один год,bir yillik ijara,bir yıllık icare,bir yıllıǧ icāra,chg,phrase,3,
Ch 7,143,راست ليق,rāstlıq,truth,растық,истина,rostlik,rastlık,rāstlıq,chg,word,1,
Ch 7,144,چونک لوق,çoñluq,largeness,чоңдық,величие,cho'nglik,büyüklük,çoñluq,chg,word,1,
Ch 7,145,کچيک ليک,kiçiklik,smallness,кішілік,малость,kichiklik,küçüklük,kiçiklik,chg,word,1,
Ch 7,146,کچيک ليک,kiçiklik,youth,жастық,молодость,kichiklik,küçüklük,kiçiklik,chg,word,1,
Ch 7,147,پادشاەليق,pādişāhlıq,kingship,патшалық,царствование,podshohlik,padişahlık,pādişāhlıq,chg,word,1,
Ch 7,148,بلاليق,balalıq,childhood,балалық,детство,bolalik,çocukluk,balalıq,chg,word,1,
Ch 7,149,خداليق,ḫudālıq,deity,құдайлық,божественность,xudalik,tanrılık,ḫudālıq,chg,word,1,
Ch 7,150,خداليق,ḫudālıq,godliness,тақуалық,набожность,xudalik,dindarlık,ḫudālıq,chg,word,1,
Ch 7,151,من روزى آخوند بيلان بزارغە کلديم,Men Rozı Āḫūnd bilän bazārǧa keldim,I came to the market with Rozi Akhund.,Мен Розы ахунмен базарға келдім,Я пришел на базар с Рози Ахундом,Men Rozi Oxund bilan bozorga keldim,Ben Rozi Ahund ile pazara geldim,Men Rozı Āḫūnd bilän bazārǧa keldim,chg,sentence,6,
Ch 7,152,سيزلار نمە اوچون شول ايشلارنى قيلدينکلار,Sizler neme üçün şol işlerni qıldıñlar,For what purpose did you do these deeds?,Сіздер не үшін бұл істерді қылдыңыздар,Для чего вы сделали эти дела?,Sizlar nima uchun shu ishlarni qildinglar,Sizler ne için şu işleri kıldınız,Sizler neme üçün şol işlerni qıldıñlar,chg,sentence,6,
Ch 7,153,من اوى دين چيقيب,Men üydin çıqıp,I left the house.,Мен үйден шығып,"Я, выйдя из дома",Men uydan chiqib,Ben evden çıkıp,Men üydin çıqıp,chg,phrase,3,
Ch 7,154,درياغە باريب,daryāǧa barıp,I went to the river.,дарияға барып,пойдя к реке,daryoga borib,deryaya varıp,daryāǧa barıp,chg,phrase,2,
Ch 7,155,سو ايچيب,suw içip,I drank water.,су ішіп,попив воды,suv ichib,su içip,suw içip,chg,phrase,2,
Ch 7,156,اش ييديم,aş yedim,I ate food.,ас жедім,поел еду,osh yedim,aş yedim,aş yedim,chg,phrase,2,
Ch 7,157,اتام سيزلار نمە ايش قيلاسيزلار ديب,Atam Sizler neme iş qılasızlar dép,"My father said to them, “What are you doing?”","Атам: ""Сіздер не іс қыласыздар?"" деп","Мой отец, сказав: ""Что вы делаете?""","Otam ""Sizlar nima ish qilasizlar"" deb","Atam ""Sizler ne iş kılarsınız"" deyip",Atam Sizler neme iş qılasızlar dép,chg,sentence,6,
Ch 7,158,اولار بيز آط ايستايميز ديدى,olar Biz āṭ isteymiz dédi,"They said, “We are looking for a horse.”","олар: ""Біз ат іздейміз"", - деді","они сказали: ""Мы ищем лошадь""","ular ""Biz ot istaymiz"" dédi","onlar ""Biz at isteriz"" dédi",olar Biz āṭ isteymiz dédi,chg,sentence,5,
Ch 7,159,تاپشوروب الديم,tapşurup aldım,I collected …,қабылдап алдым,я получил,topshirib oldim,teslim aldım,tapşurup aldım,chg,phrase,2,
Ch 7,160,ساتيب برديم,satıp bérdim,I sold it to her.,сатып бердім,я продал это ей,sotib bérdim,satıp vérdim,satıp bérdim,chg,phrase,2,
Ch 7,161,ساتيب برديم,satıp bérdim,I sold it on her behalf.,сатып бердім,я продал это от её имени,sotib bérdim,satıp vérdim,satıp bérdim,chg,phrase,2,
Ch 7,162,تاريخقە بر مينک ايکى يوز توقسان بش آط يلى شوال آيی نينک يکرمە توققوزونجى کونى ايردى,Tārı̇̄ḫqa bir miñ éki yüz toqsan beş aṭ yılı şawwāl ayınıñ yigirme toquzunçı küni érdi,"In the Hijri year one thousand two hundred and ninety-five, the Year of the Horse, on the twenty-ninth day of the month of Shawwal.","Тарихқа бір мың екі жүз тоқсан бес ат жылы, Шәууәл айының жиырма тоғызыншы күні еді","По дате это был год одна тысяча двести девяносто пять, год Лошади, двадцать девятый день месяца Шавваль",Tarixga bir ming ikki yuz toqson besh ot yili Shavvol oyining yigirma to'qqizinchi kuni edi,Tarih bin iki yüz doksan beş At yılı Şevval ayının yirmi dokuzuncu günü idi,Tārı̇̄ḫqa bir miñ éki yüz toqsan beş aṭ yılı şawwāl ayınıñ yigirme toquzunçı küni érdi,chg,sentence,15,
Ch 7,163,من کە طرفان ليق ممت آخوند ابن مقصود آخونددورمن اقرار شرعى قيلديم کە,Men ki Ṭurfanlıq Mämät Āḫūnd ibn Maqṣūd Āḫūnddurmen iqrār-ı şärʿı̇̄ qıldım ki,"I, Mämät Akhund, son of Maqsud Akhund of Turpan, made a legal declaration.","Мен, Тұрпандық Мақсұд ахунның ұлы Мәмет ахунмын, шариғи иқрар қылдым кі","Я, Мамат Ахунд из Турфана, сын Максуда Ахунда, совершил шариатское признание в том, что","Menki Turfonlik Mamat Oxund ibn Maqsud Oxunddurman, shar'iy iqror qildimki","Ben ki Turfanlı Maksud Ahund oğlu Mamat Ahund'um, şer'i ikrar kıldım ki",Men ki Ṭurfanlıq Mämät Āḫūnd ibn Maqṣūd Āḫūnddurmen iqrār-ı şärʿı̇̄ qıldım ki,chg,sentence,12,
Ch 7,164,بغرە کنتي دە بر فارچە اون بش چارک ليک يريم و بر حويلە باغى برلە بغرە کنت ليک احمد آخوندغە اوتوز بش سر بدليدە بر يل ليق اجارەکە قويوب,Baǧara kentide bir farça on beş çāraklik yarım wa bir ḥoyla bāǧı birlä Baǧara kentlik Aḥmad Āḫūndǧa ottuz beş sar bedelide bir yıllıq icārage qoyup,"I agreed to rent a parcel of my land, fifteen charak in size, along with a house and its orchard, to Ahmad Akhund of the town of Baghara for thirty-five sar for a period of one year.",Бағара кентінде бір бөлік он бес ширектік жерім және бір аула бағымен бірге Бағара кенттік Ахмет ахунға отыз бес сар бадалға бір жылдық ижараға қойып,Я сдал в аренду Ахмаду Ахунду из города Багара участок земли размером пятнадцать чараков вместе с домом и садом за тридцать пять саров сроком на один год,Bag'ara kentida bir parcha o'n besh choraklik yerim va bir hovli bog'i birla Bag'ara kentlik Ahmad Oxundga o'ttiz besh sar badalida bir yillik ijaraga qo'yib,Bagara kentinde bir parça on beş çeyreklik yerim ve bir avlu bağı ile Bagara kentli Ahmet Ahund'a otuz beş sar bedelle bir yıllık icareye koyup,Baǧara kentide bir farça on beş çāraklik yarım wa bir ḥoyla bāǧı birlä Baǧara kentlik Aḥmad Āḫūndǧa ottuz beş sar bedelide bir yıllıq icārage qoyup,chg,sentence,25,
Ch 7,165,بدل  اجارە نى تماما تاپشوروب الديم ديب,bedel-i icāranı tamāmen tapşurup aldım dép,"I said, “I received the rent in full.”",ижара ақысын толығымен қабылдап алдым деп,"сказав: ""Я полностью получил арендную плату""",ijara badalini tamoman topshirib oldim deb,icare bedelini tamamen teslim aldım deyip,bedel-i icāranı tamāmen tapşurup aldım dép,chg,sentence,6,
Ch 7,166,اوشبو قوليم نينک راستليقى اوچون بو خط نى برديم,uşbu qawlımnıñ rāstlıqı üçün bu ḫaṭnı bérdim,"As proof of what I said, I provided this document.",осы сөзімнің растығы үшін бұл хатты бердім,ради истинности этой моей речи я дал этот документ,ushbu qavlimning rostligi uchun bu xatni bérdim,işbu kavlimin rastlığı (doğruluğu) için bu hattı vérdim,uşbu qawlımnıñ rāstlıqı üçün bu ḫaṭnı bérdim,chg,sentence,7,
Ch 7,167,حضار المجلس نياز آخوند ثابت آخوند على آخوند شاهددور,Ḥużāru'l-mäclis Niyāz Āḫūnd S̱ābit Āḫūnd ʿAl Āḫūnd şāhiddür,"Witnesses: Niyaz Akhund, Sabit Akhund, and Ali Akhund.","Мәжіліске қатысушылар: Нияз ахун, Сәбит ахун, Әли ахун куәдүр","Присутствующие на собрании свидетели: Нияз Ахунд, Сабит Ахунд, Али Ахунд","Majlis ahli Niyoz Oxund, Sobit Oxund, Ali Oxund shohiddir","Meclis huzuru Niyaz Ahund, Sabit Ahund, Ali Ahund şahittir",Ḥużāru'l-mäclis Niyāz Āḫūnd S̱ābit Āḫūnd ʿAl Āḫūnd şāhiddür,chg,sentence,8,
Ch 7,168,تاريخقە بر مينک اوچ يوز اليک التە ماە صفرنينک اوچى ايردى,Tārı̇̄ḫqa bir miñ üç yüz ellik altä māh-ı Ṣafarnıñ üçi érdi,"In the Hijri year one thousand three hundred and fifty-six, on the third day of the month of Safar.",Тарихқа бір мың үш жүз елу алты Сафар айының үші еді,По дате это было третье число месяца Сафар одна тысяча триста пятьдесят шестого года,Tarixga bir ming uch yuz ellik olti Mohi Safarning uchi edi,Tarih bin üç yüz elli altı Safer ayının üçü idi,Tārı̇̄ḫqa bir miñ üç yüz ellik altä māh-ı Ṣafarnıñ üçi érdi,chg,sentence,11,
Ch 7,169,من کە چونک اريق کنتي دين يعقوب باى نينک اوغلى محمد باى دورمن اقرار شرعى قيلديم کە,Men ki çoñ Eriq kentidin Yaʿqūb Baynıñ oǧlı Muḥammad Baydurmen iqrār-ı şärʿı̇̄ qıldım ki,"I, Yaʿqub Bay, son of Muḥammad Bay of the town of Big Ditch, made a legal declaration.","Мен, Чоң Арық кентінен Жақып байдың ұлы Мұхаммед баймын, шариғи иқрар қылдым кі","Я, Мухаммад Бай, сын Якуба Бая из города Чон-Арык, совершил шариатское признание в том, что","Menki Cho'ng Ariq kentidan Yaqub Boyning o'g'li Muhammad Boydurman, shar'iy iqror qildimki","Ben ki Çon Arık kentinden Yakup Bay'ın oğlu Muhammed Bay'ım, şer'i ikrar kıldım ki",Men ki çoñ Eriq kentidin Yaʿqūb Baynıñ oǧlı Muḥammad Baydurmen iqrār-ı şärʿı̇̄ qıldım ki,chg,sentence,14,
Ch 7,170,مذکور کنتداکى توقوز فتمنليق يريمنى تابع درختلارى بيلان باقى آخوندنينک اوغلى ثابت آخوندغە ايکى يوز قرق يتە سرکا ساتيب برديم,Maẕkūr kentdeki toquz fatmanlıq yerimni tābiʿ daraḫtları bilän Bāq Āḫūndnıñ oǧlı S̱ābit Āḫūndǧa éki yüz qırq yettä sarge satıp bérdim,"I sold nine patman of land in the aforementioned town, with its trees, to Baqi Akhund’s son, Sabit Akhund, for two hundred and forty-seven sar.",Мәзкүр кенттегі тоғыз батпандық жерімді тиесілі дарақтарымен Бақи ахунның ұлы Сәбит ахунға екі жүз қырық жеті сарға сатып бердім,"Я продал свои девять батманов земли в вышеупомянутом городе с принадлежащими ей деревьями Сабиту Ахунду, сыну Баки Ахунда, за двести сорок семь саров",Mazkur kentdagi to'qqiz botmonlik yerimni tobe daraxtlari bilan Boqi Oxundning o'g'li Sobit Oxundga ikki yuz qirq yetti sarga sotib bérdim,Mezkur kentteki dokuz batmanlık yerimi tabi ağaçları ile Baki Ahund'un oğlu Sabit Ahund'a iki yüz kırk yedi sar'a satıp vérdim,Maẕkūr kentdeki toquz fatmanlıq yerimni tābiʿ daraḫtları bilän Bāq Āḫūndnıñ oǧlı S̱ābit Āḫūndǧa éki yüz qırq yettä sarge satıp bérdim,chg,sentence,20,
Ch 7,171,ثمني نى تماما تابشوروب الديم ديب,S̱amanını tamāmen tapşurup aldım dép,"I said, “I received the price in full.”",Құнын толығымен қабылдап алдым деп,"сказав: ""Я полностью получил цену""",Samonini tamoman topshirib oldim deb,Semenini tamamen teslim aldım deyip,S̱amanını tamāmen tapşurup aldım dép,chg,sentence,5,
Ch 7,172,اوشبو قوليم نينک راستليقى اوچون اوشبو وثيقەنى برديم,uşbu qawlımnıñ rāstlıqı üçün uşbu was̱ı̇̄qanı bérdim,"As proof of what I said, I provided this confirmation of my oath.",Осы сөзімнің растығы үшін осы уәлиқаны бердім,Ради истинности этой моей речи я дал это подтверждение клятвы,Ushbu qavlimning rostligi uchun ushbu vasiqani bérdim,İşbu kavlimin rastlığı (doğruluğu) için işbu vesikayı vérdim,uşbu qawlımnıñ rāstlıqı üçün uşbu was̱ı̇̄qanı bérdim,chg,sentence,7,
Ch 7,173,مذکور يرنينک حدود اربعەسى,Maẕkūr yerniñ ḥudūd-ı arbaʿası,That land’s four boundaries are:,Мәзкүр жердің төрт шегі,Четыре границы упомянутой земли,Mazkur yerning hududi arba'si,Mezkur yerin hudud-u erbası,Maẕkūr yerniñ ḥudūd-ı arbaʿası,chg,phrase,4,
Ch 7,174,حد شرقى نياز بي بى نينک ملکي غە متصل فاصل تام,ḥadd-i şarq Niyāz Bibiniñ mülkiǧa mutaṣṣıl fāṣıl tam,"To the east, it abuts Niyaz Bibi’s property boundary wall.",Шығыс шегі Нияз бибінің мүлкіне жапсарлас бөлуші там,"Восточная граница прилегает к собственности Нияз Биби, разделитель - стена",Haddi sharq Niyoz Bibining mulkiga muttasil fosil tom,"Şark haddi Niyaz Bibi'nin mülküne muttasıl, fasıl (ayırıcı) tam (duvar)",ḥadd-i şarq Niyāz Bibiniñ mülkiǧa mutaṣṣıl fāṣıl tam,chg,sentence,8,
Ch 7,175,حد شمالى موسى باى نينک ورثەلارى نينک حويلەسيغە متصل فاصل اريق,Ḥadd-i şimāl Mūsā Baynıñ waras̱alarınıñ ḥoylasıǧa mutaṣṣıl fāṣıl arıq,"To the north, it abuts the house of the heirs of Musa Bay, at the boundary ditch.",Солтүстік шегі Мұса байдың мұрагерлерінің ауласына жапсарлас бөлуші арық,"Северная граница прилегает к двору наследников Мусы Бая, разделитель - арык",Haddi shimol Muso Boyning varoslarining hovlisiga muttasil fosil ariq,"Şimal haddi Musa Bay'ın varislerinin avlusuna muttasıl, fasıl ark",Ḥadd-i şimāl Mūsā Baynıñ waras̱alarınıñ ḥoylasıǧa mutaṣṣıl fāṣıl arıq,chg,sentence,9,
Ch 7,176,حد غربى عام اريق غە متصل,Ḥadd-i ǧarb ʿām arıqǧa mutaṣṣıl,"To the west, it abuts the common irrigation ditch.",Батыс шегі жалпы арыққа жапсарлас,Западная граница прилегает к общему арыку,Haddi g'arb avom ariqqa muttasil,Garp haddi avam (genel) arkına muttasıl,Ḥadd-i ǧarb ʿām arıqǧa mutaṣṣıl,chg,sentence,5,
Ch 7,177,حد جنوبى باقى آخوندنينک باغي غە متصل فاصل قر,Ḥadd-i canūb Bāq Āḫūndnıñ bāğıǧa mutaṣṣıl fāṣıl qır,"To the south, it abuts Baqi Akhund’s orchard boundary, a low dyke of soil.",Оңтүстік шегі Бақи ахунның бағына жапсарлас бөлуші қыр,"Южная граница прилегает к саду Баки Ахунда, разделитель - межа",Haddi janub Boqi Oxundning bog'iga muttasil fosil qir,"Cenup haddi Baki Ahund'un bağına muttasıl, fasıl kır",Ḥadd-i canūb Bāq Āḫūndnıñ bāğıǧa mutaṣṣıl fāṣıl qır,chg,sentence,8,
Ch 7,178,حضار المجلس ثابت ميراب ممت آخوند محمد على آخوند شاهددور,Ḥużāru'l-mäclis S̱ābit Mı̇̄rāb Mämät Āḫūnd Muḥammad ʿAl Āḫūnd şāhiddür,"Witnesses: Sabit Mirab, Mämät Akhund, and Muḥammad Ali Akhund.","Мәжіліске қатысушылар: Сәбит мираб, Мәмет ахун, Мұхаммед Әли ахун куәдүр","Присутствующие на собрании свидетели: Сабит Мираб, Мамат Ахунд, Мухаммад Али Ахунд","Majlis ahli Sobit Mirob, Mamat Oxund, Muhammad Ali Oxund shohiddir","Meclis huzuru Sabit Mirab, Mamat Ahund, Muhammed Ali Ahund şahittir",Ḥużāru'l-mäclis S̱ābit Mı̇̄rāb Mämät Āḫūnd Muḥammad ʿAl Āḫūnd şāhiddür,chg,sentence,9,
Ch 8,0,شرقی,şarq,eastern,шығыс,восточный,sharqiy,doğu,şarq,chg,word,1,
Ch 8,1,ترکستان,Türkistān,Turkistan,Түркістан,Туркестан,Turkiston,Türkistan,Türkistān,chg,word,1,
Ch 8,2,ترکستان,Türkistān,the land of the Turks,Түркістан,Туркестан,Turkiston,Türkistan,Türkistān,chg,word,1,
Ch 8,3,حیات,ḥayāt,life,өмір,жизнь,hayot,hayat,ḥayāt,chg,word,1,
Ch 8,4,یکشنبە,yekşenbih,Sunday,жексенбі,воскресенье,yakshanba,pazar,yekşenbih,chg,word,1,
Ch 8,5,واقعە,wāqıʿa,incident,оқиға,инцидент,voqea,vaka,wāqıʿa,chg,word,1,
Ch 8,6,واقعە,wāqıʿa,event,оқиға,событие,voqea,olay,wāqıʿa,chg,word,1,
Ch 8,7,جمادى الاخیر,cämādiü'l-āḫir,the month of Jumada al-Akhir,Жүмәдәл-ахир,Джумада аль-ахира,Jumodiloxir,Cemaziyelahir,cämādiü'l-āḫir,chg,word,1,
Ch 8,8,سحر,saḥar,early morning,сәске,раннее утро,sahar,seher,saḥar,chg,word,1,
Ch 8,9,کچە,keçe,night,түн,ночь,kecha,gece,keçe,chg,word,1,
Ch 8,10,کچە,keçe,evening,кеш,вечер,kechqurun,akşam,keçe,chg,word,1,
Ch 8,11,غفلت,ǧaflat,carelessness,ғапылдық,беспечность,g'aflat,gaflet,ǧaflat,chg,word,1,
Ch 8,12,غفلت,ǧaflat,inattention,қамсыздық,невнимательность,g'aflat,dikkatsizlik,ǧaflat,chg,word,1,
Ch 8,13,فايدالان-,fāydalan-,to use,пайдалану,воспользоваться,foydalanmoq,faydalanmak,fāydalan-,chg,word,1,
Ch 8,14,غە ... قدر,...-ǧa qadar,up to ...,...-ға дейін,до ...,...-ga qadar,...-a kadar,...-ǧa qadar,chg,phrase,2,
Ch 8,15,تونکان,Tungan,Dungan,дүнген,дунган,dungan,Dungan,Tungan,chg,word,1,
Ch 8,16,تونکان,Tungan,Hui,дүнген,дунган,dungan,Dungan,Tungan,chg,word,1,
Ch 8,17,تونکان,Tungan,Sino-Muslim,дүнген,дунган,dungan,Dungan,Tungan,chg,word,1,
Ch 8,18,تونکان,Tungan,Chinese-speaking Muslim,дүнген,дунган,dungan,Dungan,Tungan,chg,word,1,
Ch 8,19,فرقە,firqa,group,топ,группа,firqa,fırka,firqa,chg,word,1,
Ch 8,20,چت,çet,outlying,шет,отдаленный,chet,uzak,çet,chg,word,1,
Ch 8,21,چت,çet,distant,шеткі,крайний,chet,kenar,çet,chg,word,1,
Ch 8,22,موندين,mundın,from this,бұдан,отсюда,bundan,bundan,mundın,chg,word,1,
Ch 8,23,عسکر,ʿasker,soldier,сарбаз,солдат,askar,asker,ʿasker,chg,word,1,
Ch 8,24,طرف,ṭaraf,side,тарап,сторона,taraf,taraf,ṭaraf,chg,word,1,
Ch 8,25,طرفيدين,ṭarafıdın,by,тарапынан,со стороны,tomonidan,tarafından,ṭarafıdın,chg,word,1,
Ch 8,26,آت-,at-,to shoot,ату,стрелять,otmoq,ateş etmek,at-,chg,word,1,
Ch 8,27,سراي,sarāy,serai,сарай,сарай,saroy,saray,sarāy,chg,word,1,
Ch 8,28,قاما-,qama-,to lock,қамау,запирать,qamamoq,kapamak,qama-,chg,word,1,
Ch 8,29,قاما-,qama-,to shut in,қамау,окружать,qamamoq,kuşatmak,qama-,chg,word,1,
Ch 8,30,يت-,yet-,to arrive,жету,прибывать,yetmoq,yetişmek,yet-,chg,word,1,
Ch 8,31,بر نچە,bir neçe,some,бірнеше,несколько,bir necha,birkaç,bir neçe,chg,phrase,2,
Ch 8,32,شوندە,şunda,in that place,сонда,там,shunda,şurada,şunda,chg,word,1,
Ch 8,33,ثلمت,s̱ulmat,crack,саңылау,трещина,yoriq,çatlak,s̱ulmat,chg,word,1,
Ch 8,34,ثلمت,s̱ulmat,hole,тесік,дыра,teshik,delik,s̱ulmat,chg,word,1,
Ch 8,35,اوچرا-,uçra-,to encounter,ұшырау,сталкиваться,uchramoq,rastlamak,uçra-,chg,word,1,
Ch 8,36,باقي,bāq,remainder,қалғаны,остальные,boqiysi,kalanı,bāq,chg,word,1,
Ch 8,37,آرقە,arqa,back,арқа,задняя часть,orqa,arka,arqa,chg,word,1,
Ch 8,38,تيشلا-,tişle-,to bite,тістеу,кусать,tishlamoq,dişlemek,tişle-,chg,word,1,
Ch 8,39,تيشلا-,tişle-,to dig through,тесу,прогрызать,teshmoq,delmek,tişle-,chg,word,1,
Ch 8,40,قاچ-,qaç-,to flee,қашу,бежать,qochmoq,kaçmak,qaç-,chg,word,1,
Ch 8,41,قال-,qal-,to stay,қалу,оставаться,qolmoq,kalmak,qal-,chg,word,1,
Ch 8,42,قال-,qal-,to remain,қалу,пребывать,qolmoq,kalmak,qal-,chg,word,1,
Ch 8,43,قال-,qal-,to be left in a state of …,қалу,оставаться в состоянии,qolmoq,kalmak,qal-,chg,word,1,
Ch 8,44,پايناف,Paynaf,Paynap,Пайнап,Пайнап,Paynap,Paynap,Paynaf,chg,word,1,
Ch 8,45,اوت,ot,fire,от,огонь,o't,ateş,ot,chg,word,1,
Ch 8,46,ياق-,yaq-,to light,жағу,зажигать,yoqmoq,yakmak,yaq-,chg,word,1,
Ch 8,47,... غە اوت ياق-,...-ǧa ot yaq-,to set … on fire,...-қа от қою,поджигать ...,...-ga o't qo'ymoq,...-i ateşe vermek,...-ǧa ot yaq-,chg,phrase,3,
Ch 8,48,حال,ḥāl,state of being,хал,состояние,hol,hal,ḥāl,chg,word,1,
Ch 8,49,هجوم,hücūm,attack,шабуыл,атака,hujum,hücum,hücūm,chg,word,1,
Ch 8,50,تعقيب,taʿqı̇̄b,pursuit,қуғын,преследование,ta'qib,takip,taʿqı̇̄b,chg,word,1,
Ch 8,51,سکز تاش,Segiz Taş,Sakkiz Tash,Сегіз Тас,Секкиз Таш,Sakkiz Tosh,Sekiz Taş,Segiz Taş,chg,phrase,2,
Ch 8,52,سکز تاش,Segiz Taş,Eight Stones,Сегіз Тас,Восемь камней,Sakkiz Tosh,Sekiz Taş,Segiz Taş,chg,phrase,2,
Ch 8,53,خچرچی,Ḫaçarçı,Khujand,Ходжент,Худжанд,Xo'jand,Hucend,Ḫaçarçı,chg,word,1,
Ch 8,54,اوزبک,Özbek,Uzbek,өзбек,узбек,o'zbek,Özbek,Özbek,chg,word,1,
Ch 8,55,... دين زيادە,...-dın ziyāda,more than ...,...-дан астам,более чем ...,...-dan ziyoda,...-den fazla,...-dın ziyāda,chg,phrase,2,
Ch 8,56,اولتور-,öltür-,to kill,өлтіру,убивать,o'ldirmoq,öldürmek,öltür-,chg,word,1,
Ch 8,57,کوب,köp,many,көп,много,ko'p,çok,köp,chg,word,1,
Ch 8,58,يارالا-,yarala-,to wound,жаралау,ранить,yaralamoq,yaralamak,yarala-,chg,word,1,
Ch 8,59,شهر,şahar,city,қала,город,shahar,şehir,şahar,chg,word,1,
Ch 8,60,ينکى شهر,yañı şahar,New City,Жаңашаһар,Новый город,Yangishahar,Yenişehir,yañı şahar,chg,phrase,2,
Ch 8,61,ايچي,içi,inside,іші,внутри,ichi,içi,içi,chg,word,1,
Ch 8,62,بش آتار,beş atar,five-shooter pistol,бес атар,пятизарядный пистолет,besh otar,beşli,beş atar,chg,phrase,2,
Ch 8,63,اون آتار,on atar,ten-shooter pistol,он атар,десятизарядный пистолет,o'n otar,onlu,on atar,chg,phrase,2,
Ch 8,64,ملطيق,mılṭıq,rifle,мылтық,винтовка,miltiq,tüfek,mılṭıq,chg,word,1,
Ch 8,65,کتە,kättä,large,үлкен,большой,katta,büyük,kättä,chg,word,1,
Ch 8,66,غنيمت,ǧanı̇̄met,booty,олжа,трофей,g'animat,ganimet,ǧanı̇̄met,chg,word,1,
Ch 8,67,غنيمت,ǧanı̇̄met,spoils,олжа,добыча,o'lja,ganimet,ǧanı̇̄met,chg,word,1,
Ch 8,68,اسير,äsı̇̄r,prisoner,тұтқын,пленный,asir,esir,äsı̇̄r,chg,word,1,
Ch 8,69,توت-,tut-,to seize,ұстау,схватить,tutmoq,tutmak,tut-,chg,word,1,
Ch 8,70,آتیل-,atıl-,to be shot,атылу,быть застреленным,otilmoq,vurulmak,atıl-,chg,word,1,
Ch 8,71,قامال-,qamal-,to be shut in,қамалу,быть запертым,qamalmoq,kuşatılmak,qamal-,chg,word,1,
Ch 8,72,اولتورول-,öltürül-,to be killed,өлтірілу,быть убитым,o'ldirilmoq,öldürülmek,öltürül-,chg,word,1,
Ch 8,73,يارالان-,yaralan-,to be wounded,жаралану,быть раненым,yaralanmoq,yaralanmak,yaralan-,chg,word,1,
Ch 8,74,الين-,alın-,to be taken,алыну,быть взятым,olinmoq,alınmak,alın-,chg,word,1,
Ch 8,75,تونکانلار طرفيدين آتيلدى,Tunganlar ṭarafıdın atıldı,He was shot by the Dungans.,Дүнгендер тарапынан атылды.,Он был застрелен дунганами.,Dunganlar tomonidan otildi.,Dunganlar tarafından vuruldu.,Tunganlar ṭarafıdın atıldı,chg,phrase,3,
Ch 8,76,قامالدوق,Qamalduq,We were shut in the house.,Қамалдық.,Мы были заперты.,Qamaldik.,Kuşatıldık.,Qamalduq,chg,word,1,
Ch 8,77,عسکارلار طرفيدين اولتورولدى لار,ʿAskerler ṭarafıdın öltürüldiler,They were killed by soldiers.,Сарбаздар тарапынан өлтірілді.,Они были убиты солдатами.,Askarlar tomonidan o'ldirildilar.,Askerler tarafından öldürüldüler.,ʿAskerler ṭarafıdın öltürüldiler,chg,phrase,3,
Ch 8,78,کچيک بولغانيم دە,kiçik bolǧanımda,When I was small.,Кішкентай болғанымда.,Когда я был маленьким.,Kichik bo'lganimda.,Küçük olduğumda.,kiçik bolǧanımda,chg,phrase,2,
Ch 8,79,شمالدين يانغان ملالار,şimāldın yanǧan mollālar,The mullahs returned from the north.,Солтүстіктен оралған молдалар.,"Муллы, вернувшиеся с севера.",Shimoldan qaytgan mullalar.,Kuzeyden dönen mollalar.,şimāldın yanǧan mollālar,chg,phrase,3,
Ch 8,80,عسکرلر اتيلغاندين کين,ʿaskerler atılǧandın keyin,after the soldiers were shot,Сарбаздар атылғаннан кейін.,"После того, как солдаты были застрелены.",Askarlar otilgandan keyin.,Askerler vurulduktan sonra.,ʿaskerler atılǧandın keyin,chg,phrase,3,
Ch 8,81,باغنی الامن ديکان يدە,Bāǧnı alamın degenide,"When he said, “I am taking the orchard.”",Бақты аламын дегенде.,Когда он сказал: «Я заберу сад».,Bog'ni olaman deganida.,Bağı alacağım dédiğinde.,Bāǧnı alamın degenide,chg,phrase,3,
